instance,family,n_customers,method,method_family,tag,metaheuristic,time_limit_s,vehicle_cost,K_eval,seed_eval,cv_global_eval,cv_link_eval,feasible,vehicles,distance,runtime_s,ontime_mean,ontime_p50,ontime_p95,tard_mean,sla_metric,sla_threshold,meets_SLA,is_champion,status,version_tag,seed_build,gap_to_det_pct,gap_to_best_pct
C101,C,100,DET,DET,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,845.0,7.6,99.6,99.8,98.2,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,0.0,1.12
C101,C,100,Q110,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,843.7,15.3,99.7,99.6,98.6,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,-0.15,0.97
C101,C,100,Q120,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,835.6,23.9,99.8,99.4,97.5,2.3,ontime_p50,95.0,True,True,feasible,static_v1,0,-1.11,0.0
C101,C,100,Q130,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,858.8,24.2,100.0,100.0,98.6,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,1.63,2.78
C101,C,100,SAA16-b0p3,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,857.9,161.3,100.0,100.0,99.1,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,1.53,2.67
C101,C,100,SAA32-b0p5,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,878.7,259.1,100.0,100.0,99.1,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,3.99,5.16
C101,C,100,SAA64-b0p7,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,897.2,435.4,100.0,100.0,99.2,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,6.18,7.37
C101,C,100,Gamma1-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,854.9,200.4,99.8,99.8,99.0,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,1.17,2.31
C101,C,100,Gamma2-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,855.1,354.8,99.8,100.0,99.3,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,1.2,2.33
C102,C,100,DET,DET,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,856.5,8.6,99.6,99.8,98.5,2.4,ontime_p50,95.0,True,True,feasible,static_v1,0,0.0,0.0
C102,C,100,Q110,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,875.5,15.6,99.8,99.9,98.1,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,2.22,2.22
C102,C,100,Q120,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,858.7,19.9,99.6,99.7,98.6,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,0.26,0.26
C102,C,100,Q130,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,860.6,27.0,100.0,99.8,97.9,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,0.48,0.48
C102,C,100,SAA16-b0p3,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,880.9,161.8,99.8,99.9,99.2,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,2.85,2.85
C102,C,100,SAA32-b0p5,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,907.9,268.0,100.0,100.0,99.3,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,6.0,6.0
C102,C,100,SAA64-b0p7,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,908.7,415.9,99.9,99.9,98.4,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,6.09,6.09
C102,C,100,Gamma1-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,859.7,230.3,99.8,100.0,98.7,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,0.37,0.37
C102,C,100,Gamma2-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,872.3,350.6,100.0,99.9,99.1,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,1.84,1.84
C103,C,100,DET,DET,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,926.2,8.0,99.8,100.0,99.0,2.2,ontime_p50,95.0,True,True,feasible,static_v1,0,0.0,0.0
C103,C,100,Q110,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,933.5,17.2,99.7,99.8,99.2,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.79,0.79
C103,C,100,Q120,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,927.3,21.2,100.0,100.0,99.3,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.12,0.12
C103,C,100,Q130,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,946.1,25.5,100.0,99.7,98.9,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,2.15,2.15
C103,C,100,SAA16-b0p3,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,961.7,144.8,100.0,100.0,99.2,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,3.83,3.83
C103,C,100,SAA32-b0p5,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,959.6,244.0,100.0,99.9,98.1,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,3.61,3.61
C103,C,100,SAA64-b0p7,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,976.7,446.1,100.0,99.7,98.6,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,5.45,5.45
C103,C,100,Gamma1-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,930.0,206.6,99.8,99.8,98.3,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,0.41,0.41
C103,C,100,Gamma2-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,944.5,318.3,100.0,99.8,99.1,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,1.98,1.98
C104,C,100,DET,DET,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,839.1,7.5,99.9,99.7,98.0,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,0.0,0.83
C104,C,100,Q110,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,842.3,14.8,99.9,99.6,99.0,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.38,1.21
C104,C,100,Q120,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,832.2,22.9,100.0,99.7,98.5,2.2,ontime_p50,95.0,True,True,feasible,static_v1,0,-0.82,0.0
C104,C,100,Q130,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,855.2,28.0,100.0,100.0,98.1,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,1.92,2.76
C104,C,100,SAA16-b0p3,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,855.1,150.8,100.0,100.0,99.4,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,1.91,2.75
C104,C,100,SAA32-b0p5,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,876.6,244.6,100.0,100.0,98.8,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,4.47,5.34
C104,C,100,SAA64-b0p7,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,890.8,454.7,100.0,99.8,98.2,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,6.16,7.04
C104,C,100,Gamma1-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,843.8,182.6,99.9,100.0,98.8,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,0.56,1.39
C104,C,100,Gamma2-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,850.4,316.2,100.0,100.0,98.2,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,1.35,2.19
C105,C,100,DET,DET,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,873.7,8.4,100.0,100.0,98.1,2.0,ontime_p50,95.0,True,True,feasible,static_v1,0,0.0,0.0
C105,C,100,Q110,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,885.1,17.5,99.9,99.7,99.0,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,1.3,1.3
C105,C,100,Q120,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,877.2,21.4,100.0,99.7,97.9,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.4,0.4
C105,C,100,Q130,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,889.4,27.6,99.7,99.6,98.8,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,1.8,1.8
C105,C,100,SAA16-b0p3,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,898.4,158.0,100.0,99.8,98.8,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,2.83,2.83
C105,C,100,SAA32-b0p5,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,917.2,256.2,100.0,100.0,98.3,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,4.98,4.98
C105,C,100,SAA64-b0p7,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,913.1,495.2,100.0,99.8,98.9,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,4.51,4.51
C105,C,100,Gamma1-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,876.9,202.8,99.7,99.4,97.8,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.37,0.37
C105,C,100,Gamma2-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,881.3,342.7,100.0,99.8,99.0,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.87,0.87
C106,C,100,DET,DET,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,922.8,9.0,99.9,100.0,99.3,2.2,ontime_p50,95.0,True,True,feasible,static_v1,0,0.0,0.0
C106,C,100,Q110,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,933.5,16.6,99.9,99.6,97.8,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,1.16,1.16
C106,C,100,Q120,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,931.5,19.5,99.7,99.4,97.7,2.3,ontime_p50,95.0,True,False,feasible,static_v1,0,0.94,0.94
C106,C,100,Q130,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,941.5,27.4,100.0,100.0,98.3,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,2.03,2.03
C106,C,100,SAA16-b0p3,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,957.0,143.6,100.0,100.0,98.8,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,3.71,3.71
C106,C,100,SAA32-b0p5,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,942.7,254.8,100.0,100.0,99.0,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,2.16,2.16
C106,C,100,SAA64-b0p7,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,962.6,457.1,100.0,100.0,99.3,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,4.31,4.31
C106,C,100,Gamma1-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,929.0,208.7,100.0,99.9,99.0,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,0.67,0.67
C106,C,100,Gamma2-q1p645,Gamma,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,931.6,313.6,100.0,100.0,98.1,2.0,ontime_p50,95.0,True,False,feasible,static_v1,0,0.95,0.95
C107,C,100,DET,DET,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,871.4,7.2,99.8,99.6,98.8,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.0,0.89
C107,C,100,Q110,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,863.7,16.5,100.0,99.9,98.1,2.0,ontime_p50,95.0,True,True,feasible,static_v1,0,-0.88,0.0
C107,C,100,Q120,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,870.1,21.4,100.0,100.0,98.9,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,-0.15,0.74
C107,C,100,Q130,Q,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,876.6,28.5,100.0,100.0,99.2,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,0.6,1.49
C107,C,100,SAA16-b0p3,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,10,902.1,170.5,100.0,100.0,98.4,2.2,ontime_p50,95.0,True,False,feasible,static_v1,0,3.52,4.45
C107,C,100,SAA32-b0p5,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,905.4,242.1,100.0,100.0,98.7,2.1,ontime_p50,95.0,True,False,feasible,static_v1,0,3.9,4.83
C107,C,100,SAA64-b0p7,SAA,TL30_MGLS_V10000,GLS,30,10000,200,42,0.2,0.1,True,11,939.2,498.2,100.0,100.0,99.1,2.4,ontime_p50,95.0,True,False,feasible,static_v1,0,7.78,8.74
